"Terms searched for in same 15 second clip: (""palestinian"" OR ""gazan"" OR ""gaza"" OR ""gazans"" OR ""palestinians"" OR ""israeli"" OR ""israel"" OR ""israelis"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
,,,,,,
,,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/CNNW_20231019_070000_CNN_Newsroom_Live#start/2268/end/2303,10/19/2023 7:38:03,10/19/2023,CNN,CNN Newsroom Live,"israel is responsible for this quote massacre. the western world can no longer claim morality if they continue these double standards, he wrote. for days jordan's king has been warning the situation in the",N/A
https://archive.org/details/CNNW_20231019_070000_CNN_Newsroom_Live#start/2215/end/2250,10/19/2023 7:37:10,10/19/2023,CNN,CNN Newsroom Live,"down on gaza. and its civilian casualties rising day after day. israel's friends and foes swiftly blamed it and condemned what they said was a massacre, a war crime. jordan one of america's closest",N/A
https://archive.org/details/CNNW_20231019_050000_CNN_Newsroom_Live#start/2243/end/2278,10/19/2023 5:37:38,10/19/2023,CNN,CNN Newsroom Live,"for a cease-fire in gaza, positioning themselves as possible peacemakers, both ignoring the irony of putin's own brutal war, spilling blood on the battlefields of ukraine. far from the front lines, the leaders and representatives of",N/A
https://archive.org/details/CNNW_20231019_050000_CNN_Newsroom_Live#start/2043/end/2078,10/19/2023 5:34:18,10/19/2023,CNN,CNN Newsroom Live,"protesters waved their shoes in the air for president joe biden, they said, as they chanted, americans get out. jordan's crown prince posting this instagram story. israel responsible, quote, for this massacre.",N/A
https://archive.org/details/CNNW_20231019_050000_CNN_Newsroom_Live#start/2012/end/2047,10/19/2023 5:33:47,10/19/2023,CNN,CNN Newsroom Live,"what they say was a massacre, a war crime. jordan, one of america's closest allies in the region, a country home to millions of palestinians, canceled a summit of arab leaders with u.s. president is hosting on wednesday.",N/A
https://archive.org/details/MSNBCW_20231019_050000_The_Last_Word_With_Lawrence_ODonnell#start/514/end/549,10/19/2023 5:08:49,10/19/2023,MSNBC,The Last Word With Lawrence ODonnell,"objectives. the white house made this announcement. tomorrow, president biden will address the nation to discuss our response to hamas terrorist attacks against israel and russia's ongoing brutal war against ukraine. this speech will be delivered from the oval office at eight",N/A
https://archive.org/details/CNNW_20231019_040000_CNN_Newsroom_Live#start/3209/end/3244,10/19/2023 4:53:44,10/19/2023,CNN,CNN Newsroom Live,"free free, palestine! free free, palestine! free free, palestine! crowds gathered in london to call an end on israeli attacks on gaza. they described it as a massacre",N/A
https://archive.org/details/MSNBCW_20231019_040000_Alex_Wagner_Tonight#start/506/end/541,10/19/2023 4:08:41,10/19/2023,MSNBC,Alex Wagner Tonight,"morning from the united states government. they thought that that was a lie. they said that this was absolutely the israelis who launched that weapon, and they said that this has long been part of their complaint against the israelis. they used the word genocide, and a massacre. they said i spoke with one protester who was there at a hezbollah rally. here's what she told me. it's really -- these railings have left us, as",N/A
https://archive.org/details/MSNBCW_20231019_040000_Alex_Wagner_Tonight#start/220/end/255,10/19/2023 4:03:55,10/19/2023,MSNBC,Alex Wagner Tonight,rushed the israeli consulate in istanbul. they are all reacting to what palestinians call a massacre. that explosion at the -- hospital in gaza city. i heard an almighty screech followed by a large large explosion. part of the ceiling of the operating room fell. bodies can be seen laying on,N/A
https://archive.org/details/MSNBCW_20231019_020000_The_Last_Word_With_Lawrence_ODonnell#start/511/end/546,10/19/2023 2:08:46,10/19/2023,MSNBC,The Last Word With Lawrence ODonnell,"objectives. the white house made this announcement. tomorrow, president biden will address the nation to discuss our response to hamas terrorist attacks against israel and russia's ongoing brutal war against ukraine. this speech will be delivered from the oval office at eight",N/A
